"V1","V2","V3","V4","V5","V6"
"S4","H5","SK","HK","DK",6
"S3","S7","H7","C7","HJ",6
"S3","H3","C3","D6","D9",6
"H2","D2","C2","CQ","HK",6
"H7","SJ","DJ","CJ","HQ",6
"D2","H7","D7","C7","CK",6
"H6","D7","S8","H8","D8",6
"H3","C4","H7","D7","C7",6
"C4","H5","C6","H7","S8",5
"S3","S5","S7","S8","SQ",4
"HA","H4","H6","H9","H10",4
"S10","H10","C10","HQ","CQ",3
"S2","S3","H3","D3","CK",6
"HA","D2","S5","D5","C5",6
"S5","S6","H6","C6","HJ",6
"H4","S9","H9","D9","D10",6
"C4","S8","D8","C8","S10",6
"S6","D6","C6","CQ","HK",6
"S3","D3","C3","C9","S10",6
"H2","C3","H10","D10","C10",6
"S4","H5","D5","C5","H7",6
"C7","D8","C9","H10","SJ",5
"S4","H4","C4","H6","SQ",6
"D4","SQ","DQ","CQ","DK",6
"C4","S6","D6","C6","DQ",6
"H2","H4","H7","H8","H10",4
"C4","C6","S9","H9","D9",6
"H5","S8","H8","D8","C9",6
"C5","C6","D7","C8","S9",5
"HA","S5","D5","C5","H6",6
"D2","C7","HK","DK","CK",6
"S3","H3","C3","DQ","CK",6
"H8","C9","C10","SJ","DQ",5
"DA","D4","D5","D7","D8",4
"S2","D2","C2","H6","D10",6
"H9","H10","HJ","CQ","HK",5
"C4","C5","C6","D7","D8",5
"H3","H10","D10","C10","HJ",6
"S7","D8","SJ","HJ","DJ",6
"S3","H3","D3","D8","SK",6
"HA","DA","CA","D10","SQ",6
"S7","SQ","HQ","DQ","HK",6
"HA","H2","H6","H7","H8",4
"H8","C9","C10","CJ","DQ",5
"D6","H7","D8","C9","H10",5
"SA","H5","S10","H10","D10",6
"D4","H7","D7","C7","HQ",6
"S2","H2","D2","C7","C8",6
"S4","H5","S6","S7","D8",5
"DA","C2","S4","H4","D4",6
"H2","D2","C2","C3","H7",6
"DA","D10","DJ","DQ","SK",5
"CA","C7","SK","HK","CK",6
"S9","C10","CJ","HQ","HK",5
"D4","H8","SQ","HQ","DQ",6
"S5","H5","C5","C7","SK",6
"S2","H3","D3","C3","S9",6
"HA","H3","D3","C3","C5",6
"H3","H5","D5","C5","DJ",6
"S3","S6","S9","SJ","SK",4
"S2","S3","S6","S8","SJ",4
"S5","H5","C5","DJ","HK",6
"HA","DA","CA","D10","SK",6
"S2","D2","C2","C7","H8",6
"S2","H2","D2","C2","CJ",2
"H6","S8","D8","C8","D9",6
"C4","SQ","HQ","DQ","SK",6
"C5","S6","H6","D6","C7",6
"H4","D4","C4","S9","DJ",6
"H4","D7","S10","H10","C10",6
"H7","H8","D9","D10","HJ",5
"S7","H7","S9","D9","C9",3
"H8","C9","S10","DJ","CQ",5
"C2","C3","S10","H10","C10",6
"H2","S4","H4","C4","H5",6
"S2","H2","C2","D6","H7",6
"S5","H5","C5","CJ","CK",6
"H3","S4","H5","D6","C7",5
"H3","C6","H8","D8","C8",6
"C4","C6","C7","C10","CQ",4
"S3","DJ","SQ","HQ","DQ",6
"CA","C10","SJ","CQ","SK",5
"H9","H10","DJ","DQ","SK",5
"HA","H8","D8","C8","H9",6
"S2","S3","S4","S10","SJ",4
"C6","H8","D8","C8","D10",6
"H2","D7","SQ","DQ","CQ",6
"D4","D5","SK","HK","CK",6
"DA","D4","D5","D8","D10",4
"S2","D2","C2","C5","CK",6
"D3","C8","HK","DK","CK",6
"H2","S10","D10","C10","SK",6
"C6","H7","D7","C7","H10",6
"S2","S7","D7","C7","DQ",6
"H2","D2","S8","H8","C8",3
"S4","H9","HK","DK","CK",6
"SA","HA","DA","D4","D8",6
"H3","D3","C3","H6","D9",6
"SA","S6","H6","C6","DK",6
"H6","S7","D7","C7","H9",6
"SA","H2","C3","S4","S5",5
"S6","SJ","HJ","DJ","DK",6
"D4","S9","SK","DK","CK",6
"S5","S8","H8","C8","S9",6
"D3","C8","S10","D10","C10",6
"SA","DA","CA","C3","S10",6
"D5","H8","D8","C8","HQ",6
"SA","CA","S6","H6","D6",3
"S5","D5","C5","S9","HQ",6
"S2","H2","D2","D6","HQ",6
"S2","D4","S9","H9","D9",6
"C3","S5","H5","C5","S10",6
"S2","D8","HJ","DJ","CJ",6
"S4","H4","D4","C5","DK",6
"C5","H6","D7","H8","D9",5
"CA","C8","H10","D10","C10",6
"H3","D3","C3","S6","C8",6
"S4","D4","C4","S7","SK",6
"D2","D3","D4","C5","H6",5
"D2","C3","D4","S5","S6",5
"D3","H4","S9","H9","D9",6
"SA","DA","CA","D4","S10",6
"C4","S5","H5","D5","HJ",6
"H3","D3","C3","S7","CQ",6
"D4","S7","S9","H9","C9",6
"S3","D3","C3","C6","H7",6
"H7","H10","D10","C10","SK",6
"C5","H10","SK","HK","DK",6
"S2","H2","C2","D5","C5",3
"H3","S8","H8","C8","D9",6
"SA","HA","DA","D3","CJ",6
"S2","C7","HJ","DJ","CJ",6
"HA","S9","SK","HK","DK",6
"H4","D4","C4","S9","SJ",6
"S2","S4","S8","S10","SQ",4
"H2","S4","D4","C4","S7",6
"S2","H2","C2","H8","D8",3
"S3","H3","C3","S4","HK",6
"SA","DA","CA","S6","SQ",6
"D6","C9","SK","DK","CK",6
"CA","S2","H2","D2","CJ",6
"SA","C3","S5","H5","D5",6
"D2","D3","SK","HK","CK",6
"DA","S4","H4","C4","S10",6
"S6","D6","C6","D10","SK",6
"D9","C9","S10","D10","C10",3
"DA","D6","D7","D10","DK",4
"S4","S5","S6","S8","SQ",4
"DA","S4","H4","D4","S9",6
"S4","S7","H7","C7","S9",6
"SA","D4","SK","DK","CK",6
"H7","S10","H10","C10","CQ",6
"HA","C10","CJ","SQ","HK",5
"S5","D5","C5","SJ","HJ",3
"H5","D5","C5","D7","S8",6
"DA","S7","H7","C7","SK",6
"C4","SQ","SK","DK","CK",6
"D2","S3","D4","C5","C6",5
"H8","D8","SJ","HJ","CJ",3
"S3","S4","H4","C4","D5",6
"S2","C3","S5","D5","C5",6
"H3","H4","H8","H9","HJ",4
"S6","C7","SQ","DQ","CQ",6
"D6","D7","D8","S9","S10",5
"S4","S9","H9","D9","HJ",6
"C7","C8","CJ","CQ","CK",4
"C2","S4","H4","C4","SJ",6
"S2","C9","S10","H10","D10",6
"S4","S8","D8","C8","D10",6
"HA","DA","H5","D5","C5",3
"DA","D2","H3","C4","H5",5
"S8","H9","C10","CJ","HQ",5
"HA","DA","CA","D2","S7",6
"D2","S3","D3","C3","C10",6
"S2","H6","D6","C6","DK",6
"H4","C10","SJ","DJ","CJ",6
"D6","S8","S9","H9","C9",6
"SA","H2","H9","D9","C9",6
"CA","H6","D6","C6","SJ",6
"S4","H4","C4","D5","D9",6
"S4","D4","C4","H6","S8",6
"CA","H5","S10","D10","C10",6
"H5","C6","D7","S8","H9",5
"H4","D4","C4","DJ","HQ",6
"S4","H4","D4","D7","SJ",6
"D4","S9","H9","D9","C10",6
"CA","D4","H8","D8","C8",6
"H8","C8","SQ","HQ","DQ",3
"S6","H6","D6","S10","HK",6
"S2","H2","C2","C7","H9",6
"S6","D6","C6","H10","DK",6
"H6","S7","H7","D7","HK",6
"H9","C9","S10","H10","D10",3
"H7","H8","H9","H10","DJ",5
"C2","S9","SJ","HJ","CJ",6
"S3","S5","D5","C5","CK",6
"S3","H3","C3","C6","S7",6
"S4","D4","C4","SJ","DJ",3
"H4","H5","SK","HK","DK",6
"CA","C4","C6","C7","C8",4
"SA","DA","CA","S7","HK",6
"S2","D6","S8","D8","C8",6
"HA","DA","CA","H3","C7",6
"S5","S8","SJ","HJ","CJ",6
"D9","D10","DJ","HQ","CK",5
"D2","S5","H10","D10","C10",6
"DA","S7","D7","C7","H9",6
"H3","D3","C3","H5","SK",6
"S4","D5","C6","C7","C8",5
"D3","H10","SQ","HQ","DQ",6
"CA","S10","CJ","CQ","HK",5
"S2","H2","D2","D4","D10",6
"S4","H5","D5","C5","D6",6
"CA","HJ","DJ","CJ","HQ",6
"CA","C2","S3","D4","S5",5
"S2","H2","D2","S5","D9",6
"S2","H2","D2","D5","S7",6
"H8","S9","D10","DJ","DQ",5
"C2","H4","H6","D6","C6",6
"S6","S10","H10","D10","DK",6
"SA","H6","D6","C6","S9",6
"S2","H2","D2","H10","SK",6
"D2","D3","D8","D9","D10",4
"SA","H2","S3","D4","C5",5
"SA","HA","DA","D5","SQ",6
"SA","HA","CA","S3","SK",6
"DA","SJ","HJ","DJ","CJ",2
"D2","H3","D4","H5","C6",5
"S2","H2","C2","D10","C10",3
"DA","S6","SQ","DQ","CQ",6
"SA","C10","SQ","DQ","CQ",6
"S3","H3","C3","S10","D10",3
"H4","S8","D8","C8","SJ",6
"D4","D7","D8","D9","DK",4
"H5","SJ","HJ","CJ","CQ",6
"S3","C5","S6","D6","C6",6
"S4","S7","S9","S10","SQ",4
"D9","D10","CJ","DQ","SK",5
"C4","S5","H6","D7","S8",5
"D6","C7","C8","D9","S10",5
"H2","D2","C2","S3","HK",6
"S6","D7","SQ","HQ","CQ",6
"H2","D4","S10","H10","D10",6
"S6","D6","C6","C9","HK",6
"S3","H4","H5","S6","H7",5
"D4","H9","SJ","HJ","CJ",6
"C5","S8","S10","H10","D10",6
"H4","HJ","SQ","DQ","CQ",6
"HA","H2","H5","H7","H9",4
"C4","D5","C6","S7","C8",5
"DA","D2","D4","D6","D7",4
"H4","C7","HK","DK","CK",6
"HA","D3","S6","H6","C6",6
"S4","D4","C4","D7","C8",6
"C5","S10","D10","C10","SK",6
"SA","H8","SJ","HJ","CJ",6
"S4","H4","D4","H7","H9",6
"D7","D8","S9","H10","CJ",5
"C2","S3","H3","C3","CJ",6
"D2","D6","D7","D9","D10",4
"DA","S10","SJ","SQ","DK",5
"DA","S5","H5","D5","D9",6
"CA","S3","D3","C3","S5",6
"HA","H4","D4","C4","H9",6
"HA","CA","S5","D5","C5",3
"CA","C2","C5","C6","C9",4
"S5","H5","C5","H6","DJ",6
"HA","H2","H3","C4","D5",5
"S5","H5","C5","C7","HJ",6
"S3","H3","C3","D4","SQ",6
"SA","DA","SJ","HJ","DJ",3
"D6","C6","S7","D7","C7",3
"S2","D2","C2","D3","S9",6
"HA","H10","HJ","HQ","DK",5
"H4","D4","HQ","DQ","CQ",3
"C3","S8","D8","C8","CK",6
"D4","DJ","SQ","DQ","CQ",6
"HA","D3","SJ","HJ","CJ",6
"S5","H7","D7","C7","DQ",6
"H2","D2","C2","D6","HQ",6
"S6","S10","SJ","DJ","CJ",6
"S2","H2","D2","H10","SQ",6
"S3","S5","H5","D5","S10",6
"S3","D3","C3","H7","C8",6
"HA","C2","S3","H4","C5",5
"H2","D2","C2","D7","S8",6
"S2","C5","HQ","DQ","CQ",6
"HA","H6","H8","H9","HK",4
"C2","S3","SQ","HQ","DQ",6
"S7","H7","C7","H10","CQ",6
"SA","S3","H3","C3","S4",6
"C2","C4","C6","CJ","CQ",4
"C5","C10","HK","DK","CK",6
"H2","H10","D10","C10","HJ",6
"S7","H7","D7","HJ","CQ",6
"D6","S7","D7","C7","HJ",6
"D4","H8","H9","D9","C9",6
"S2","S9","H9","C9","CK",6
"DA","S10","HJ","DQ","CK",5
"S4","H4","C4","S8","H10",6
"H3","H6","H10","HJ","HK",4
"CA","D6","SQ","HQ","DQ",6
"C5","SJ","DJ","CJ","CQ",6
"S3","H3","C3","H9","HK",6
"D6","S7","H7","D7","C9",6
"C3","H4","C5","D6","S7",5
"S6","S9","S10","H10","C10",6
"H2","D2","C2","C4","S6",6
"C5","S6","D6","C6","C8",6
"H2","D2","C2","H6","D10",6
"SA","S8","S10","SJ","SK",4
"HA","CJ","HQ","DQ","CQ",6
"HA","S4","S5","H5","D5",6
"SA","S4","H4","C4","H9",6
"CA","S5","H5","D5","HJ",6
"S4","S5","S6","S9","SQ",4
"S2","S3","H3","D3","S8",6
"HA","DA","CA","D7","D8",6
"C2","C5","C6","C8","C9",4
"H2","S7","H7","D7","SK",6
"DA","C2","H3","S4","S5",5
"S3","H3","D3","S5","H10",6
"D7","D8","D10","DJ","DK",4
"C4","C5","SK","HK","DK",6
"D2","H6","S9","H9","C9",6
"D6","H9","D9","C9","CQ",6
"D2","H3","D3","C3","SQ",6
"S8","D8","C8","SK","CK",3
"S4","D4","C4","H6","C7",6
"CA","D10","CJ","SQ","DK",5
"H4","D4","C4","D10","DJ",6
"S3","D5","S6","H6","D6",6
"CA","S9","H9","C9","CJ",6
"H4","C5","S6","D7","C8",5
"S4","H4","D4","S7","HJ",6
"HA","DA","CA","SQ","CK",6
"D3","H8","D8","C8","H9",6
"C6","CQ","SK","HK","DK",6
"D3","H4","H5","S6","H7",5
"S6","S7","H7","C7","D9",6
"S4","H4","D4","CJ","SQ",6
"S2","D2","C2","S6","SK",6
"SA","C8","S10","H10","D10",6
"S5","H5","C5","H9","DK",6
"D3","H7","D7","C7","C8",6
"S6","S8","HK","DK","CK",6
"HA","H3","D3","C3","D7",6
"D3","D4","SK","DK","CK",6
"C3","H5","D5","C5","H8",6
"S2","H2","C2","DQ","SK",6
"HA","S8","H8","D8","C8",2
"DA","S6","D6","C6","C7",6
"S7","D8","H9","H10","DJ",5
"D2","H3","D4","D5","H6",5
"H2","H7","SK","HK","DK",6
"H3","D3","C3","D4","DJ",6
"S3","H3","D3","C3","C6",2
"SA","HA","DA","D2","C2",3
"CA","S9","D9","C9","C10",6
"S2","D2","C2","C8","CQ",6
"D7","S9","H9","D9","C10",6
"H5","H7","H8","H10","HJ",4
"S7","D7","SK","DK","CK",3
"H4","C5","C6","S7","H8",5
"S3","S6","SJ","HJ","DJ",6
"C2","H3","D3","C3","S6",6
"H2","D2","C2","S4","H7",6
"C8","D9","D10","CJ","SQ",5
"D3","S8","H8","D8","C8",2
"S3","D3","C3","D4","C4",3
"DA","S2","D2","C2","S10",6
"S9","H9","SQ","HQ","DQ",3
"S3","H3","D3","S6","DK",6
"HA","DA","CA","C5","D8",6
"DA","H2","D2","C2","S8",6
"SA","DA","CA","S2","SJ",6
"D9","C10","CJ","CQ","HK",5
"S3","H3","D3","H9","SQ",6
"SA","HA","CA","S8","CK",6
"CA","H2","S6","H6","D6",6
"D3","D4","H9","D9","C9",6
"S3","S5","S6","H6","C6",6
"H3","S4","H5","H6","H7",5
"C3","C5","C6","C9","CJ",4
"S4","H4","D4","C5","H9",6
"S4","H4","C4","D6","DQ",6
"HA","H3","H4","H9","HJ",4
"S3","H3","C3","D4","C7",6
"CA","D8","SQ","HQ","DQ",6
"H9","C9","HQ","DQ","CQ",3
"C5","D6","D7","S8","C9",5
"S6","H6","S8","D8","C8",3
"S3","H3","C3","H7","SJ",6
"H2","S4","H4","D4","S6",6
"D3","S5","D5","C5","SJ",6
"H4","D4","C4","D5","S7",6
"S2","H2","S10","H10","D10",3
"H2","S4","SJ","DJ","CJ",6
"DA","S10","H10","C10","HJ",6
"D8","D9","S10","SJ","HQ",5
"S4","H4","C4","D9","C9",3
"D6","H7","D8","H9","H10",5
"S4","D4","C4","H5","H10",6
"S2","S8","H8","C8","D9",6
"S4","D4","C4","C8","CQ",6
"C3","D6","H8","D8","C8",6
"H3","H6","D6","C6","C8",6
"H5","D5","C5","H7","S8",6
"SA","HA","DA","H5","D7",6
"HA","S3","D3","C3","C4",6
"S5","D6","SJ","HJ","DJ",6
"S3","C9","SQ","DQ","CQ",6
"D9","S10","HJ","SQ","CK",5
"C6","D8","SK","HK","CK",6
"H2","D2","C2","H6","D8",6
"SA","C4","H10","D10","C10",6
"C5","H8","D8","C8","H9",6
"S3","D3","C3","S9","C10",6
"H4","D4","C4","D7","D8",6
"S2","H2","D2","SJ","HQ",6
"S6","H6","C6","S8","SQ",6
"S3","D3","C3","C8","SJ",6
"C4","C8","C10","CJ","CQ",4
"C2","HJ","DJ","CJ","CQ",6
"C5","H6","C7","D8","S9",5
"D3","H10","HK","DK","CK",6
"S4","H4","D4","D8","HQ",6
"SA","DA","CA","C4","S5",6
"D2","D3","D7","D8","D9",4
"D6","D7","D8","D9","DJ",4
"S3","S5","H5","C5","CQ",6
"S4","D4","C4","C8","H10",6
"S6","H6","D6","C6","H8",2
"S2","H2","C2","HQ","DK",6
"C3","D5","S10","H10","D10",6
"H4","H9","S10","H10","C10",6
"S2","C8","S10","D10","C10",6
"S2","S6","S7","S8","SK",4
"H6","H7","C8","S9","S10",5
"C2","S3","H3","C3","SK",6
"H4","H8","H10","D10","C10",6
"DA","S4","S9","H9","D9",6
"S3","H3","D3","H5","C7",6
"C2","H3","D3","C3","CQ",6
"D3","S6","H6","C6","H10",6
"C6","C8","SJ","HJ","CJ",6
"C2","D9","H10","D10","C10",6
"SA","S2","SJ","SQ","SK",4
"DA","D2","S3","D4","H5",5
"C9","D10","HJ","SQ","DK",5
"CA","C2","D3","S4","S5",5
"C5","S6","H6","C6","CJ",6
"S3","D3","C3","H7","CJ",6
"H2","D2","C2","C4","S8",6
"S2","H5","S6","H6","D6",6
"S5","S10","H10","D10","DJ",6
"SA","S6","S9","SQ","SK",4
"H8","D9","C10","SJ","HQ",5
"H3","S4","S7","H7","D7",6
"C7","S8","D9","D10","SJ",5
"H6","D6","C6","SJ","CQ",6
"C4","S5","H6","C7","S8",5
"S3","H3","C3","H7","CK",6
"CA","S6","SK","HK","DK",6
"C2","S3","H4","H5","C6",5
"HA","H3","H5","H10","HJ",4
"S5","H6","S7","H7","D7",6
"S5","H5","D5","H8","SK",6
"C3","S4","H4","C4","H5",6
"D7","H8","S9","D10","HJ",5
"SA","S7","H10","D10","C10",6
"S9","H9","D9","C9","C10",2
"S5","D5","C5","H6","C8",6
"H7","D7","C7","S10","CK",6
"H4","D4","C4","H5","DJ",6
"S5","H9","D9","C9","DK",6
"C4","H5","S9","H9","D9",6
"SA","DA","CA","S3","S5",6
"H2","D2","S5","D5","C5",3
"HA","S2","H2","D2","HK",6
"DA","S4","H4","C4","C10",6
"H5","D5","C5","C6","S10",6
"D8","C9","H10","HJ","CQ",5
"DA","S7","HK","DK","CK",6
"C6","H7","S8","H9","C10",5
"S7","H7","C7","S8","SK",6
"SA","S9","SJ","DJ","CJ",6
"S5","H5","D5","C10","CK",6
"S3","D8","SK","HK","DK",6
"SA","D2","D3","D4","D5",5
"C2","C4","SJ","DJ","CJ",6
"S2","H2","D2","S8","DJ",6
"S3","H3","C3","C5","D10",6
"S5","H5","C5","D9","C9",3
"SA","HA","CA","D3","SJ",6
"S2","H7","D7","C7","C10",6
"C5","S8","H9","D9","C9",6
"SA","S10","H10","C10","HQ",6
"C6","C7","HK","DK","CK",6
"CA","S3","H3","C3","C4",6
"D3","S8","S10","H10","D10",6
"S2","H2","D2","H3","S4",6
"D2","C2","HJ","DJ","CJ",3
"C6","S7","C8","C9","D10",5
"S5","SJ","HJ","DJ","CK",6
"H5","S7","H7","C7","D8",6
"DA","D6","SJ","HJ","DJ",6
"S2","H2","D2","C6","HJ",6
"C5","S7","H7","D7","DJ",6
"D3","C4","S5","H6","C7",5
"DA","D2","D3","D4","DJ",4
"S3","S4","S6","S8","SJ",4
"SA","H3","D3","C3","D4",6
"S3","H3","C3","S8","C9",6
"S6","H6","C6","S8","CQ",6
"H4","S5","H5","C5","C8",6
"S2","S8","SK","HK","DK",6
"S2","D2","C2","H6","HK",6
"S3","H5","D5","C5","D6",6
"S4","H4","D4","D10","C10",3
"D6","S8","H8","D8","SK",6
"CA","H5","D5","C5","DK",6
"S10","H10","D10","C10","DK",2
"C5","S6","SK","HK","DK",6
"S3","H3","D3","H4","S5",6
"D6","H9","D9","C9","DJ",6
"S3","H3","C3","CQ","HK",6
"D6","C8","SJ","HJ","DJ",6
"S4","S10","D10","C10","DJ",6
"S3","D3","C3","SJ","CK",6
"SA","S5","H8","D8","C8",6
"S3","H3","C3","S7","DK",6
"SA","S2","D3","C4","S5",5
"S2","D2","C2","C4","SJ",6
"C2","D5","H10","D10","C10",6
"S6","D7","C8","C9","S10",5
"SA","HA","CA","C3","DQ",6
"H3","H8","H10","HJ","HK",4
"D3","CJ","SQ","HQ","CQ",6
"HA","S8","H10","D10","C10",6
"S2","D6","S7","D7","C7",6
"H2","H4","H8","H9","H10",4
"C7","D8","D9","D10","SJ",5
"CA","H4","H8","D8","C8",6
"HA","H3","H9","HJ","HQ",4
"CA","S2","H2","C2","C10",6
"H6","S8","HJ","DJ","CJ",6
"D4","S10","H10","D10","CJ",6
"C3","S4","S7","H7","C7",6
"SA","DA","CA","H7","SQ",6
"DA","S6","H9","D9","C9",6
"CA","S7","H7","D7","DQ",6
"D3","S9","H9","C9","C10",6
"S4","C10","HK","DK","CK",6
"C4","SQ","SK","HK","DK",6
"HA","DA","CA","D3","H5",6
"SA","D10","HJ","SQ","HK",5
"D6","C7","S8","C9","D10",5
"H3","D9","SJ","HJ","CJ",6
"C5","H6","S7","D7","C7",6
"HA","S2","H3","S4","S5",5
"S8","H8","S9","H9","C9",3
"HA","H10","DJ","HQ","CK",5
"H6","H10","SJ","HJ","CJ",6
"C5","D7","SK","HK","CK",6
"D2","CQ","SK","HK","DK",6
"H2","D2","C2","S9","DJ",6
"D4","S8","H8","C8","D9",6
"SA","S2","H2","D2","SQ",6
"C2","S4","H4","C4","C8",6
"C2","H4","SQ","HQ","DQ",6
"D3","H7","H9","D9","C9",6
"HA","H2","S3","S4","D5",5
"CA","D6","HQ","DQ","CQ",6
"CA","H9","SQ","DQ","CQ",6
"CA","C6","CJ","CQ","CK",4
"S3","D3","C3","C10","SQ",6
"D2","C3","S6","H6","C6",6
"H2","D2","C2","S4","D7",6
"SA","HA","CA","S6","H9",6
"C2","DJ","SK","HK","CK",6
"SA","H5","S8","H8","D8",6
"SA","DA","CA","D8","S10",6
"HA","DA","CA","S7","SK",6
"S9","H10","SJ","CQ","HK",5
"SA","DA","CA","C10","CQ",6
"H4","D5","SK","DK","CK",6
"S5","SJ","HJ","DJ","DQ",6
"D5","H6","D6","C6","HQ",6
"SA","HA","HJ","DJ","CJ",3
"H2","D6","S10","H10","D10",6
"SA","HA","DA","CA","SJ",2
"DA","S6","H6","C6","HJ",6
"S5","H5","D5","C6","DJ",6
"S5","D5","C5","H7","S8",6
"S2","D2","C2","S3","H7",6
"S9","C9","SJ","DJ","CJ",3
"S4","C9","HQ","DQ","CQ",6
"S2","H2","C2","D9","CK",6
"H5","D5","C5","H8","CJ",6
"H8","H9","C10","HJ","HQ",5
"S3","C7","SQ","DQ","CQ",6
"H2","S3","H3","C3","SQ",6
"D2","H10","SQ","HQ","DQ",6
"S2","S5","H5","C5","DJ",6
"C4","S5","SQ","DQ","CQ",6
"C9","H10","DJ","HQ","HK",5
"SA","D9","SJ","DJ","CJ",6
"DA","D5","SQ","HQ","CQ",6
"S3","H3","D3","S4","H8",6
"S5","H5","C5","H6","D7",6
"H3","C6","SJ","HJ","CJ",6
"D2","H4","D4","C4","S10",6
"C3","C4","C5","D6","S7",5
"D6","H7","H8","S9","H10",5
"D4","S9","H9","C9","SK",6
"D3","D4","D5","D9","DJ",4
"SA","S3","S4","S6","SK",4
"S2","H2","D2","D7","C10",6
"HA","S4","S8","H8","C8",6
"H5","S6","H6","D6","C9",6
"C3","C4","S5","H5","D5",6
"H8","D9","H10","HJ","CQ",5
"H2","C3","H4","S5","D6",5
"D7","H8","D9","S10","DJ",5
"S3","H3","C3","H6","S9",6
"D3","C4","SQ","HQ","DQ",6
"D4","S6","H6","C6","DQ",6
"S3","H3","D3","C6","HQ",6
"S4","C7","HJ","DJ","CJ",6
"S6","C7","C8","D9","H10",5
"H3","C3","S8","D8","C8",3
"S2","H2","D2","C7","SQ",6
"D4","C7","HK","DK","CK",6
"CA","H4","SQ","HQ","DQ",6
"H2","S6","SQ","HQ","CQ",6
"C5","S9","H9","C9","D10",6
"H4","S7","D7","C7","HK",6
"S2","H2","D2","H7","D8",6
"S6","C7","H8","S9","H10",5
"C4","D6","HK","DK","CK",6
"S2","D2","C2","H7","D9",6
"S5","D5","C5","H6","H8",6
"H2","SQ","SK","HK","CK",6
"S3","C4","D5","D6","D7",5
"S2","H2","C2","H7","SJ",6
"H2","S3","H3","D3","C9",6
"H4","C6","S9","H9","C9",6
"D9","H10","DJ","DQ","DK",5
"S5","H5","D5","HQ","CQ",3
"HA","H9","H10","D10","C10",6
"DA","D5","S9","H9","C9",6
"S8","S9","H10","DJ","CQ",5
"S4","H4","D4","S7","CJ",6
"DA","H6","D6","C6","S9",6
"D7","D9","DJ","DQ","DK",4
"SA","DA","CA","C5","D7",6
"D5","D10","SQ","HQ","DQ",6
"SA","HA","H8","D8","C8",3
"SA","HA","DA","C7","S9",6
"HA","C7","SK","DK","CK",6
"S5","S10","D10","C10","DJ",6
"S7","C8","H9","H10","HJ",5
"D5","C9","HQ","DQ","CQ",6
"S4","C5","D6","D7","D8",5
"H4","H7","SJ","HJ","CJ",6
"DA","DJ","SQ","HQ","DQ",6
"D6","C8","HQ","DQ","CQ",6
"SA","S5","H5","C5","H6",6
"H2","H4","H10","HQ","HK",4
"D2","H8","D8","C8","CJ",6
"S6","C8","SJ","HJ","CJ",6
"H7","S8","S9","H10","HJ",5
"S3","S4","H4","C4","H9",6
"D6","C7","S8","D9","D10",5
"S2","S5","S7","S9","SQ",4
"S4","H7","S9","H9","D9",6
"S2","C5","H9","D9","C9",6
"C4","H6","S7","D7","C7",6
"H4","S5","D5","C5","HQ",6
"H2","D2","C2","SJ","HK",6
"S6","D6","C6","D8","C8",3
"S7","D8","S9","C10","DJ",5
"S3","CJ","SK","HK","DK",6
"C2","H6","D6","C6","CJ",6
"D3","S8","H8","D8","S9",6
"HQ","CQ","SK","HK","DK",3
"C7","C8","C9","D10","CJ",5
"S3","H4","C5","D6","H7",5
"D3","S7","D7","C7","SQ",6
"C4","S7","H7","D7","HQ",6
"D6","S7","D7","C7","CJ",6
"D3","C4","C5","C6","H7",5
"H9","C9","HJ","DJ","CJ",3
"SA","H7","D7","C7","SQ",6
"S3","H3","C3","S10","SK",6
"SA","S4","SK","HK","CK",6
"HA","S2","SJ","HJ","CJ",6
"S5","H5","C5","C7","DQ",6
"S4","H4","C4","C10","CQ",6
"HA","DA","CA","D5","C9",6
"DA","S10","SJ","HQ","HK",5
"S4","H4","D4","D6","DQ",6
"S6","H8","SK","DK","CK",6
"HA","H2","S3","C4","S5",5
"DA","S2","D2","C2","SQ",6
"D7","H8","D8","C8","D9",6
"D4","H5","H6","H7","S8",5
"D2","S10","D10","C10","DJ",6
"C7","H8","C9","C10","SJ",5
"S2","H2","D2","H3","HJ",6
"SA","C3","S6","D6","C6",6
"C3","S8","SJ","HJ","DJ",6
"D5","H7","S10","D10","C10",6
"SA","HA","DA","CA","C5",2
"SA","D7","S9","H9","C9",6
"SA","H8","D8","C8","HJ",6
"D2","D3","H4","D5","D6",5
"S3","D3","C3","D6","SJ",6
"S4","S6","D6","C6","S10",6
"S6","H6","D6","H9","C9",3
"SA","DA","CA","D10","DQ",6
"H4","D4","C4","D5","D7",6
"HA","DA","CA","S2","C7",6
"S5","H5","D5","C5","H6",2
"D2","SJ","DJ","CJ","DK",6
"SA","S3","H3","C3","S8",6
"C6","H7","SQ","HQ","CQ",6
"SA","HA","CA","S8","C9",6
"D2","S6","H6","C6","H9",6
"S7","D7","C7","C9","S10",6
"H2","S4","D4","C4","C8",6
"C4","C6","S10","H10","D10",6
"D4","C4","S5","H5","C5",3
"DA","C4","S8","H8","D8",6
"SA","HA","CA","D2","C10",6
"H5","C6","C7","H8","S9",5
"DA","D5","D6","DJ","DK",4
"SA","D2","S3","D3","C3",6
"C4","S10","D10","C10","DK",6
"S4","C10","SK","DK","CK",6
"S2","H2","D2","D7","H10",6
"SA","HA","DA","D10","SQ",6
"DA","S3","D3","C3","H8",6
"H5","D5","C5","H9","SQ",6
"H6","C7","D8","H9","S10",5
